nome_da_conta,assunto,descricao
ARTEMIS,ATUALIZACAO DE VERSAO DE SISTEMA - ARTEMIS,Bom dia! Solicito atualizacao de versao de sistema da ARTEMIS. SERVIDOR DIGITI
ARTH WIND,ATUALIZACAO DE VERSAO DE SISTEMA - ART WIND,Bom dia! Solicito atualizacao de versao de sistema da ARTH WIND. SERVIDOR DIGITI
CMU,ATUALIZACAO DE VERSAO DE SISTEMA - CMU,Bom dia! Solicito atualizacao de versao de sistema da CMU. SERVIDOR DIGITI
RAITO,ATUALIZACAO DE VERSAO DE SISTEMA - RAITO EXPRESS, Solicito atualizacao de versao de sistema da RAITO. SERVIDOR DIGITI
RT ENERGIA,ATUALIZACAO DE VERSAO DE SISTEMA - RT ENERGIA, Solicito atualizacao de versao de sistema da RT ENERGIA. SERVIDOR DIGITI
KAMI CO,ATUALIZACAO DE VERSAO DE SISTEMA - KAMI CO,Bom dia!  Solicito atualizacao de versao de sistema da KAMI CO. SERVIDOR DIGITI
